product_name,weight_raw,weight_value,weight_unit,price_raw,price,discount_price_raw,discount_price,date,time
Broiler Chicken Skin Off ± 50 gm,1 kg,1,kg,৳ 335,335,৳ 325,325,26-10-2022,12:22:09
Cock Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 314,314,৳ 309,309,26-10-2022,12:22:09
Roast Chicken ± 10 gm,275 gm,275,gm,৳ 200,200,৳ 179,179,26-10-2022,12:22:09
Broiler Chicken Skin On ± 50 gm,1 kg,1,kg,৳ 299,299,৳ 279,279,26-10-2022,12:22:09
Bengal Meat Whole Chicken Curry Cut ± 50 gm,1 kg,1,kg,৳ 350,350,,,26-10-2022,12:22:09
Pigeon Meat,each,1,each,৳ 169,169,৳ 159,159,26-10-2022,12:22:09
Whole Deshi Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 475,475,৳ 465,465,26-10-2022,12:22:09
Whole Deshi Duck (Hash) With Skin,900 gm,900,gm,৳ 549,549,৳ 509,509,26-10-2022,12:22:09
Chicken Liver Gizzard Mix,1 kg,1,kg,৳ 249,249,৳ 229,229,26-10-2022,12:22:09
Whole Layer Chicken Skin Off (Net Weight ± 50 gm),800 gm,800,gm,৳ 529,529,৳ 459,459,26-10-2022,12:22:09
Broiler Chicken Skin Off ± 50 gm,1 kg,1,kg,৳ 335,335,৳ 325,325,26-10-2022,17:45:54
Cock Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 314,314,৳ 309,309,26-10-2022,17:45:54
Roast Chicken ± 10 gm,275 gm,275,gm,৳ 200,200,৳ 179,179,26-10-2022,17:45:54
Broiler Chicken Skin On ± 50 gm,1 kg,1,kg,৳ 299,299,৳ 279,279,26-10-2022,17:45:54
Bengal Meat Whole Chicken Curry Cut ± 50 gm,1 kg,1,kg,৳ 350,350,,,26-10-2022,17:45:54
Pigeon Meat,each,1,each,৳ 169,169,৳ 159,159,26-10-2022,17:45:54
Whole Deshi Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 475,475,৳ 465,465,26-10-2022,17:45:54
Whole Deshi Duck (Hash) With Skin,900 gm,900,gm,৳ 549,549,৳ 509,509,26-10-2022,17:45:54
Chicken Liver Gizzard Mix,1 kg,1,kg,৳ 249,249,৳ 229,229,26-10-2022,17:45:54
Whole Layer Chicken Skin Off (Net Weight ± 50 gm),800 gm,800,gm,৳ 529,529,৳ 459,459,26-10-2022,17:45:54
Broiler Chicken Skin Off ± 50 gm,1 kg,1,kg,৳ 335,335,৳ 315,315,26-10-2022,20:59:32
Cock Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 314,314,৳ 299,299,26-10-2022,20:59:32
Roast Chicken ± 10 gm,275 gm,275,gm,৳ 189,189,৳ 179,179,26-10-2022,20:59:32
Broiler Chicken Skin On ± 50 gm,1 kg,1,kg,৳ 295,295,৳ 279,279,26-10-2022,20:59:32
Bengal Meat Whole Chicken Curry Cut ± 50 gm,1 kg,1,kg,৳ 350,350,,,26-10-2022,20:59:32
Pigeon Meat,each,1,each,৳ 169,169,৳ 159,159,26-10-2022,20:59:32
Whole Deshi Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 479,479,৳ 459,459,26-10-2022,20:59:32
Whole Deshi Duck (Hash) With Skin,900 gm,900,gm,৳ 549,549,৳ 489,489,26-10-2022,20:59:32
Chicken Liver Gizzard Mix,1 kg,1,kg,৳ 249,249,৳ 229,229,26-10-2022,20:59:32
