product_name,weight_raw,weight_value,weight_unit,price_raw,price,discount_price_raw,discount_price,date,time
Shagor Kola (Banana Sagor),4 pcs,4,pcs,৳ 45,45,,,26-10-2022,12:22:06
Banana Chompa (Ready To Eat),4 pcs,4,pcs,৳ 32,32,৳ 25,25,26-10-2022,12:22:06
Daab (Green Coconut),each,1,each,৳ 129,129,৳ 105,105,26-10-2022,12:22:06
Malta ± 50 gm,1 kg,1,kg,৳ 249,249,৳ 215,215,26-10-2022,12:22:06
Guava Premium (± 50 gm),1 kg,1,kg,৳ 90,90,৳ 79,79,26-10-2022,12:22:06
Banana Sobri,4 pcs,4,pcs,৳ 55,55,৳ 45,45,26-10-2022,12:22:06
Lal Angur (Red Grapes) ± 12 gm,250 gm,250,gm,৳ 139,139,৳ 95,95,26-10-2022,12:22:06
Green Apple ± 50 gm,1 kg,1,kg,৳ 335,335,৳ 285,285,26-10-2022,12:22:06
Anaros (Pineapple),each,1,each,৳ 105,105,৳ 65,65,26-10-2022,12:22:06
Bangla Kola,4 pcs,4,pcs,৳ 39,39,৳ 35,35,26-10-2022,12:22:06
Paka Pape ± 50 gm,1 kg,1,kg,৳ 125,125,৳ 89,89,26-10-2022,12:22:06
Amra (Hog Plum) ± 50 gm,1 kg,1,kg,৳ 85,85,৳ 65,65,26-10-2022,12:22:06
Gala Apple ± 50 gm,1 kg,1,kg,৳ 309,309,৳ 289,289,26-10-2022,12:22:06
Dalim (Pomegranate),2 pcs,2,pcs,৳ 303,303,৳ 275,275,26-10-2022,12:22:06
Jambura (Pomelo),each,1,each,৳ 109,109,,,26-10-2022,12:22:06
China Fuji Apple ± 50 gm,1 kg,1,kg,৳ 299,299,,,26-10-2022,12:22:06
Narikel (Coconut),each,1,each,৳ 120,120,৳ 105,105,26-10-2022,12:22:06
Dragon Fruit Local (± 50 gm),1 kg,1,kg,৳ 450,450,৳ 355,355,26-10-2022,12:22:06
Shada Nashpati (Pear White),2 pcs,2,pcs,৳ 179,179,৳ 169,169,26-10-2022,12:22:06
China Orange (± 40 gm),800 gm,800,gm,৳ 279,279,,,26-10-2022,12:22:06
Wood Apple (Kodbel),each,1,each,৳ 60,60,৳ 45,45,26-10-2022,12:22:06
Komola (Orange) Imported ± 50 gm,1 kg,1,kg,৳ 389,389,৳ 339,339,26-10-2022,12:22:06
Amloki (Amla) ± 12 gm,250 gm,250,gm,৳ 80,80,৳ 55,55,26-10-2022,12:22:06
Chalta,each,1,each,৳ 40,40,৳ 25,25,26-10-2022,12:22:06
Sobuj Nashpati (Pear Green),2 pcs,2,pcs,৳ 179,179,৳ 165,165,26-10-2022,12:22:06
EZ Daab (Prime Coconut),each,1,each,৳ 120,120,,,26-10-2022,12:22:06
Green Olives (Jolpai) ± 25 gm,500 gm,500,gm,৳ 70,70,৳ 45,45,26-10-2022,12:22:06
Avocado Fruit 470 gm (Net Weight ± 50 gm),2 pcs,2,pcs,৳ 649,649,,,26-10-2022,12:22:06
Australian Apple (± 50 gm),1 kg,1,kg,৳ 250,250,৳ 235,235,26-10-2022,12:22:06
